FID,district_num,S_LASTNAME,S_FIRSTNAM,party,URL
0,41,"White,",Donald C.,R,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=41
1,23,"Yaw,",Gene,R,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=23
2,27,"Gordner,",John R.,R,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=27
3,15,"DiSanto,",Giovanni M.,R,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=15
4,28,"Phillips-Hill,",Kristin Lee,R,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=28
5,13,"Martin,",Scott F.,R,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=13
6,35,"Langerholc,","Wayne, Jr.",R,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=35
7,30,"Ward,",Judith F.,R,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=30
8,34,"Corman,","Jacob D., lll",R,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=34
9,33,"Alloway,","Richard L., ll",R,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=33
10,31,"Regan,",Michael R.,R,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=31
11,32,"Stefano,",Patrick J.,R,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=32
12,47,"Vogel,","Elder A., Jr.",R,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=47
13,50,"Brooks,",Michele,R,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=50
14,49,"Laughlin,",Daniel J.,R,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=49
15,21,"Hutchinson,",Scott E.,R,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=21
16,42,"Fontana,",Wayne D.,D,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=42
17,37,"Reschenthaler,",Guy,R,http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate_bio.cfm?districtnumber=37
