division_name,official_name,division_type,party
1,Brian Fitzpatrick,US Congressional District,R
2,Brendan Boyle,US Congressional District,D
3,Dwight Evans,US Congressional District,D
4,Madeleine Dean,US Congressional District,D
5,Mary Scanlon,US Congressional District,D
6,Chrissy Houlahan,US Congressional District,D
7,Susan Wild,US Congressional District,D
8,Matthew Cartwright,US Congressional District,D
9,Daniel Meuser,US Congressional District,R
10,Scott Perry,US Congressional District,R
11,Lloyd Smucker,US Congressional District,R
12,vacant,US Congressional District,na
13,John Joyce,US Congressional District,R
14,Guy Reschenthaler,US Congressional District,R
15,Glenn Thompson,US Congressional District,R
16,Mike Kelly,US Congressional District,R
17,Connor Lamb,US Congressional District,D
18,Michael “Mike” Doyle Jr.,US Congressional District,D
