district_num,official_name,district_type,party,district_name
1,Mark Squilla ,Phila Council District,D,City Council District 1
6,Bobby Henon,Phila Council District,D,City Council District 6
2,Kenyatta Johnson,Phila Council District,D,City Council District 2
3,Jannie Blackwell,Phila Council District,D,City Council District 3
5,Darrell L. Clarke,Phila Council District,D,City Council District 5
7,Maria D. Quinones-Sanchez,Phila Council District,D,City Council District 7
8,Cindy Bass,Phila Council District,D,City Council District 8
9,Cherelle Parker,Phila Council District,D,City Council District 9
10,Brian J. O'Neill,Phila Council District,D,City Council District 10
4,"Curtis Jones, Jr.",Phila Council District,D,City Council District 4
