district_num,official_name,district_type,party,district_name
1,Adams Rackes,Philadelphia Wards,D,Ward 1
2,Nikil Saval,Philadelphia Wards,D,Ward 2
3,Ronald G. Waters,Philadelphia Wards,D,Ward 3
4,Edgar Campbell,Philadelphia Wards,D,Ward 4
5,Michael Boyle,Philadelphia Wards,D,Ward 5
6,Peter Wilson,Philadelphia Wards,D,Ward 6
7,Angel Cruz,Philadelphia Wards,D,Ward 7
8,Lawrence Farnese,Philadelphia Wards,D,Ward 8
9,Chris Rabb,Philadelphia Wards,D,Ward 9
10,Isabella Fitzgerald,Philadelphia Wards,D,Ward 10
11,Dwayne Lilley,Philadelphia Wards,D,Ward 11
12,Theodore Stones,Philadelphia Wards,D,Ward 12
13,Charles Carn,Philadelphia Wards,D,Ward 13
14,Arthur Green,Philadelphia Wards,D,Ward 14
15,William K. Greenlee,Philadelphia Wards,D,Ward 15
16,Jewell Williams,Philadelphia Wards,D,Ward 16
17,Michelle Schley,Philadelphia Wards,D,Ward 17
18,Theresa Alicea,Philadelphia Wards,D,Ward 18
19,Carlos Matos,Philadelphia Wards,D,Ward 19
20,Renee McNair,Philadelphia Wards,D,Ward 20
21,Louis Agre,Philadelphia Wards,D,Ward 21
22,Cindy Bass,Philadelphia Wards,D,Ward 22
23,Timothy Savage,Philadelphia Wards,D,Ward 23
24,Bernadette Wyche,Philadelphia Wards,D,Ward 24
25,Thomas Johnson,Philadelphia Wards,D,Ward 25
26,Ronald R. Donatucci,Philadelphia Wards,D,Ward 26
27,Carol Jenkins,Philadelphia Wards,D,Ward 27
28,Anthony Clark,Philadelphia Wards,D,Ward 28
29,Michelle Brownlee,Philadelphia Wards,D,Ward 29
30,Jonathan Adler,Philadelphia Wards,D,Ward 30
31,Margaret Rzepski,Philadelphia Wards,D,Ward 31
32,Gary Williams,Philadelphia Wards,D,Ward 32
33,Donna Aument,Philadelphia Wards,D,Ward 33
34,Robert A. Brady,Philadelphia Wards,D,Ward 34
35,William Dolbow,Philadelphia Wards,D,Ward 35
36,Kenyatta Johnson,Philadelphia Wards,D,Ward 36
37,El Amor M. Brawne Ali,Philadelphia Wards,D,Ward 37
38,Mark Green,Philadelphia Wards,D,Ward 38
39,(A) Jonathan Rowan,Philadelphia Wards,D,Ward 39
40,(A) Edward Thornton,Philadelphia Wards,D,Ward 40
41,Connie Dougherty,Philadelphia Wards,D,Ward 41
42,Sharon Vaughn,Philadelphia Wards,D,Ward 42
43,Emilio Vazquez,Philadelphia Wards,D,Ward 43
44,Willie Jordan,Philadelphia Wards,D,Ward 44
45,Harry L. Enggasser,Philadelphia Wards,D,Ward 45
46,Jannie Blackwell,Philadelphia Wards,D,Ward 46
47,George Brooks,Philadelphia Wards,D,Ward 47
48,Anton Moore,Philadelphia Wards,D,Ward 48
49,Shirley Gregory,Philadelphia Wards,D,Ward 49
50,Cherelle Parker,Philadelphia Wards,D,Ward 50
51,Gregory Benjamin,Philadelphia Wards,D,Ward 51
52,Steve Jones,Philadelphia Wards,D,Ward 52
53,Janice M. Sulman,Philadelphia Wards,D,Ward 53
54,Alan Butkovitz,Philadelphia Wards,D,Ward 54
55,Robert Dellavella,Philadelphia Wards,D,Ward 55
56,"John P. Sabatina, Sr.",Philadelphia Wards,D,Ward 56
57,Patrick Parkinson,Philadelphia Wards,D,Ward 57
58,James Donnelly,Philadelphia Wards,D,Ward 58
59,Donna Reed Miller,Philadelphia Wards,D,Ward 59
60,Gregory Spearman,Philadelphia Wards,D,Ward 60
61,Peter Lyde,Philadelphia Wards,D,Ward 61
62,Margaret Tartaglione,Philadelphia Wards,D,Ward 62
63,Brian Eddis,Philadelphia Wards,D,Ward 63
64,Peter McDermott,Philadelphia Wards,D,Ward 64
65,Robert Henon,Philadelphia Wards,D,Ward 65
66,"(A) Shawn Dillon, (B) Michael McAleer",Philadelphia Wards,D,Ward 66
