division_name,official_name,division_type
152,Thomas P. Murt (R),PA Legislative
170,Martina A. White (R),PA Legislative
172,Kevin J. Boyle (D),PA Legislative
172,Kevin J. Boyle (D),PA Legislative
173,Michael J. Driscoll (D),PA Legislative
173,Michael J. Driscoll (D),PA Legislative
174,Ed Neilson (D),PA Legislative
175,MaryLouise Isaacson (D),PA Legislative
175,MaryLouise Isaacson (D),PA Legislative
177,Joseph C. Hohenstein (D),PA Legislative
177,Joseph C. Hohenstein (D),PA Legislative
177,Joseph C. Hohenstein (D),PA Legislative
179,Jason Dawkins (D),PA Legislative
179,Jason Dawkins (D),PA Legislative
179,Jason Dawkins (D),PA Legislative
180,Angel Cruz (D),PA Legislative
180,Angel Cruz (D),PA Legislative
180,Angel Cruz (D),PA Legislative
181,Malcolm Kenyatta (D),PA Legislative
181,Malcolm Kenyatta (D),PA Legislative
182,Brian Sims (D),PA Legislative
184,Elizabeth Fiedler (D),PA Legislative
185,Maria P. Donatucci (D),PA Legislative
185,Maria P. Donatucci (D),PA Legislative
186,Jordan A. Harris (D),PA Legislative
186,Jordan A. Harris (D),PA Legislative
188,James R. Roebuck Jr. (D),PA Legislative
188,James R. Roebuck Jr. (D),PA Legislative
190,VACANT,PA Legislative
190,VACANT,PA Legislative
191,Joanna E. McClinton (D),PA Legislative
192,Morgan Cephas (D),PA Legislative
194,Pamela A. DeLissio (D),PA Legislative
194,Pamela A. DeLissio (D),PA Legislative
195,Donna Bullock (D),PA Legislative
195,Donna Bullock (D),PA Legislative
195,Donna Bullock (D),PA Legislative
197,Danilo Burgos (D),PA Legislative
197,Danilo Burgos (D),PA Legislative
198,Rosita C. Youngblood (D),PA Legislative
198,Rosita C. Youngblood (D),PA Legislative
198,Rosita C. Youngblood (D),PA Legislative
200,Christopher M. Rabb (D),PA Legislative
201,Stephen Kinsey (D),PA Legislative
201,Stephen Kinsey (D),PA Legislative
202,Jared G. Solomon (D),PA Legislative
202,Jared G. Solomon (D),PA Legislative
203,Isabella V. Fitzgerald (D),PA Legislative
203,Isabella V. Fitzgerald (D),PA Legislative
203,Isabella V. Fitzgerald (D),PA Legislative
