division_name,official_name,division_type
2,Christine M. Tartaglione (D),PA Senate District
5,John P. Sabatina Jr. (D),PA Senate District
2,Christine M. Tartaglione (D),PA Senate District
5,John P. Sabatina Jr. (D),PA Senate District
2,Christine M. Tartaglione (D),PA Senate District
5,John P. Sabatina Jr. (D),PA Senate District
5,John P. Sabatina Jr. (D),PA Senate District
1,Lawrence M. Farnese Jr. (D),PA Senate District
2,Christine M. Tartaglione (D),PA Senate District
1,Lawrence M. Farnese Jr. (D),PA Senate District
2,Christine M. Tartaglione (D),PA Senate District
5,John P. Sabatina Jr. (D),PA Senate District
2,Christine M. Tartaglione (D),PA Senate District
3,Sharif Street (D),PA Senate District
5,John P. Sabatina Jr. (D),PA Senate District
2,Christine M. Tartaglione (D),PA Senate District
3,Sharif Street (D),PA Senate District
5,John P. Sabatina Jr. (D),PA Senate District
1,Lawrence M. Farnese Jr. (D),PA Senate District
3,Sharif Street (D),PA Senate District
1,Lawrence M. Farnese Jr. (D),PA Senate District
1,Lawrence M. Farnese Jr. (D),PA Senate District
1,Lawrence M. Farnese Jr. (D),PA Senate District
8,Anthony H. Williams (D),PA Senate District
1,Lawrence M. Farnese Jr. (D),PA Senate District
8,Anthony H. Williams (D),PA Senate District
7,Vincent J. Hughes (D),PA Senate District
8,Anthony H. Williams (D),PA Senate District
7,Vincent J. Hughes (D),PA Senate District
8,Anthony H. Williams (D),PA Senate District
8,Anthony H. Williams (D),PA Senate District
7,Vincent J. Hughes (D),PA Senate District
3,Sharif Street (D),PA Senate District
7,Vincent J. Hughes (D),PA Senate District
1,Lawrence M. Farnese Jr. (D),PA Senate District
3,Sharif Street (D),PA Senate District
7,Vincent J. Hughes (D),PA Senate District
2,Christine M. Tartaglione (D),PA Senate District
3,Sharif Street (D),PA Senate District
3,Sharif Street (D),PA Senate District
4,Art Haywood (D),PA Senate District
7,Vincent J. Hughes (D),PA Senate District
4,Art Haywood (D),PA Senate District
3,Sharif Street (D),PA Senate District
4,Art Haywood (D),PA Senate District
2,Christine M. Tartaglione (D),PA Senate District
5,John P. Sabatina Jr. (D),PA Senate District
2,Christine M. Tartaglione (D),PA Senate District
3,Sharif Street (D),PA Senate District
4,Art Haywood (D),PA Senate District
